Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2021,6465,632,21.91,,0,0,,7.802829758,99.81877700122816,14.870892469295132,"POLYGON ((99.81856779997196 14.868809785386862, 99.81831959997199 14.86879248538685, 99.81801109997201 14.868841785386804, 99.81819959997202 14.870181485385604, 99.818384399972 14.871046685384778, 99.81863249997194 14.871944885384009, 99.818872899972 14.87244318538355, 99.81904219997197 14.872746885383236, 99.81917429997193 14.872935285383074, 99.81967539997193 14.872829985383145, 99.81856779997196 14.868809785386862))"
RDC,2021,6465,634,16.02,RT,0,1,RT1,13.11513995,99.81744300381673,14.868248636602228,"POLYGON ((99.81629589997206 14.868042085387518, 99.81633849997209 14.868061485387544, 99.81675289997204 14.869013885386627, 99.81713939997206 14.868928385386763, 99.81727129997205 14.868879585386797, 99.81780749997205 14.86875228538689, 99.81829829997199 14.868694785386975, 99.81849559997198 14.868626785387033, 99.81808759997205 14.867392485388143, 99.81629589997206 14.868042085387518))"
RDC,2021,6465,635,12.31,NP,1,0,NP,12.30775717,99.81905062660931,14.868014625314633,"POLYGON ((99.819235899972 14.867093885388408, 99.81833509997203 14.867387585388126, 99.818697399972 14.868743085386935, 99.81926399997194 14.868831685386828, 99.81963029997199 14.86874528538692, 99.81978809997194 14.868650985387008, 99.81926359997198 14.867083285388427, 99.819235899972 14.867093885388408))"
RDC,2021,6465,639,8.36,RT,0,1,RT1,7.921146953,99.81815254449566,14.866427900377431,"POLYGON ((99.81821829997202 14.867279385388231, 99.81882239997198 14.867092685388425, 99.81811689997204 14.865527885389879, 99.81747449997204 14.86590598538951, 99.81821829997202 14.867279385388231))"
RDC,2021,6465,640,20.45,RT,0,1,RT1,12.30034809,99.8148657119239,14.872137645308193,"POLYGON ((99.81576169997206 14.872731785383248, 99.81544179997213 14.871032685384806, 99.81476389997214 14.871218685384623, 99.81436039997214 14.871335885384546, 99.81403559997214 14.871469885384363, 99.81407849997213 14.871906185384013, 99.81412229997213 14.872378885383569, 99.81419699997211 14.87283308538313, 99.8143549999721 14.87327208538276, 99.81440069997213 14.873314385382686, 99.81451299997211 14.873267485382756, 99.8146479999721 14.873166685382863, 99.81474179997208 14.873116985382884, 99.81576169997206 14.872731785383248))"
RDC,2021,6465,701,33.70,RT,0,1,RT1,14.56765579,99.80111568312927,14.896103282480524,"POLYGON ((99.80101889997253 14.893503785364201, 99.80069939997252 14.893474485364186, 99.80027739997256 14.89349408536419, 99.79987299997252 14.89369538536402, 99.79990749997258 14.893874185363813, 99.80009079997254 14.894290385363455, 99.80025519997251 14.894583085363172, 99.80043329997252 14.895050685362783, 99.80083469997248 14.896165185361731, 99.80148769997247 14.896011885361915, 99.80150279997245 14.896040585361858, 99.80085019997252 14.896203385361709, 99.80089909997248 14.896409885361502, 99.8010435999725 14.896798185361146, 99.80131879997246 14.898188785359912, 99.80158269997246 14.899603485358623, 99.80214459997248 14.899348285358835, 99.80101889997253 14.893503785364201))"
RDC,2021,6465,702,36.85,RT,0,1,RT1,11.44112859,99.80208969785592,14.896293868042777,"POLYGON ((99.80203719997247 14.898578285359534, 99.80244029997245 14.898484185359615, 99.80193329997249 14.895933485361981, 99.80154299997245 14.89602308536186, 99.80154379997246 14.895988785361912, 99.80192789997248 14.895900585362007, 99.8014543999725 14.893590385364103, 99.80151949997247 14.89360998536405, 99.80196549997245 14.895891685361999, 99.80242399997246 14.89576768536209, 99.80242649997246 14.895807085362096, 99.80196299997246 14.89592248536196, 99.80262599997239 14.899212785358955, 99.80307059997241 14.898959185359178, 99.8031053999724 14.898898385359264, 99.80294289997242 14.89802158536005, 99.80287789997244 14.897466285360592, 99.80270449997242 14.896656785361323, 99.80249839997242 14.896144385361739, 99.80243499997245 14.895803885362064, 99.80242249997244 14.895751285362103, 99.80201579997245 14.893698385364027, 99.80161669997248 14.893599785364101, 99.80149689997249 14.893590485364129, 99.80142949997249 14.893577485364109, 99.8010401999725 14.893513785364178, 99.80152109997248 14.89601498536186, 99.80203719997247 14.898578285359534))"
RDC,2021,6465,703,50.36,RT,0,1,RT2,8.184534271,99.80536806542,14.898067158155852,"POLYGON ((99.80584689997232 14.896054485361855, 99.8058171999723 14.896027985361894, 99.80543129997235 14.896329585361617, 99.80498359997237 14.896698385361274, 99.80479579997238 14.896945885361044, 99.80473269997235 14.897064885360914, 99.80458029997236 14.89732788536069, 99.80447559997236 14.897468485360573, 99.80424639997239 14.897724685360298, 99.80403849997236 14.897921085360172, 99.80381499997239 14.898147285359958, 99.80344099997244 14.898720685359434, 99.8040808999724 14.899132085359025, 99.8043715999724 14.89933628535888, 99.8044137999724 14.899343185358823, 99.80445839997235 14.899338685358844, 99.80471519997232 14.899263885358922, 99.80480579997234 14.899263985358942, 99.80488149997237 14.89928878535887, 99.80492849997236 14.899320785358876, 99.80493639997238 14.899331585358837, 99.80496409997234 14.899362985358827, 99.80500479997234 14.899381585358784, 99.80505459997234 14.89938088535881, 99.80518849997233 14.899346885358872, 99.8054885999723 14.89924258535893, 99.8056381999723 14.899189185358965, 99.80603249997235 14.899028785359146, 99.80615049997232 14.899109585359044, 99.8062824999723 14.899214885358983, 99.80645879997232 14.89935168535887, 99.80650039997228 14.899353485358866, 99.80654249997225 14.899332485358885, 99.80690159997229 14.899051785359122, 99.80690979997232 14.899024485359156, 99.80691599997228 14.898979885359173, 99.8069506999723 14.898820385359322, 99.80695509997224 14.898648785359494, 99.80694679997225 14.898553185359564, 99.80688199997233 14.898310685359782, 99.80678309997232 14.898137385359963, 99.80662649997228 14.897892385360178, 99.80659859997232 14.897753485360274, 99.80644409997231 14.897396385360627, 99.8062166999723 14.89695018536104, 99.80584689997232 14.896054485361855))"
RDC,2021,6465,711,68.26,RT,0,1,RT1,8.215939057,99.8112696281757,14.885960049206632,"POLYGON ((99.81201749997217 14.883262185373583, 99.81170409997218 14.883360485373483, 99.8111022999722 14.88360728537327, 99.81100499997223 14.883653285373237, 99.8104622999722 14.883915285373005, 99.81017219997223 14.883988585372943, 99.81016959997221 14.8842557853727, 99.8102660999722 14.885025385371991, 99.81032899997223 14.885745185371299, 99.8103356999722 14.886534485370577, 99.81034999997225 14.886830685370343, 99.81038409997224 14.886941485370205, 99.81037499997223 14.887126685370063, 99.81034989997221 14.888347285368958, 99.81041599997216 14.888915585368434, 99.8109771999722 14.88882408536847, 99.81101399997219 14.883690385373182, 99.8110538999722 14.883655585373235, 99.8110165999722 14.888805085368535, 99.81160509997216 14.888700485368588, 99.81160949997214 14.88753278536966, 99.81161949997215 14.887495685369716, 99.81164139997217 14.883393385373466, 99.81168069997217 14.883374485373489, 99.81167749997218 14.887463085369754, 99.81221209997217 14.887429085369808, 99.81240119997214 14.886015085371094, 99.81241559997214 14.88579958537126, 99.81241779997215 14.885016185371985, 99.81228989997214 14.88430638537265, 99.8122414999722 14.883917885372965, 99.81201749997217 14.883262185373583))"
RDC,2021,6465,714,12.42,RT,0,1,RT1,9.688405797,99.81607610467341,14.883657220583569,"POLYGON ((99.81438499997209 14.883821485373108, 99.81464379997206 14.884298685372647, 99.81605219997203 14.883949985372952, 99.81738169997197 14.883571485373354, 99.81770299997197 14.883476785373407, 99.81765809997196 14.882989985373877, 99.81438499997209 14.883821485373108))"
RDC,2021,6465,715,59.68,RT,0,1,RT1,9.270352267,99.81692016478675,14.88252247072255,"POLYGON ((99.81918509997196 14.881698385375065, 99.81905259997194 14.881645285375104, 99.81815119997194 14.881484785375257, 99.816519599972 14.88187378537488, 99.816339599972 14.881760685374962, 99.81622319997204 14.881776785374987, 99.81386689997211 14.882384185374399, 99.81422959997205 14.883515185373355, 99.81437269997207 14.88376768537312, 99.81765059997196 14.882955385373913, 99.81769079997196 14.882787285374071, 99.81836589997195 14.882810185374028, 99.81864009997192 14.882897585373941, 99.81879739997191 14.882939285373887, 99.8191823999719 14.883001485373843, 99.81966579997189 14.883064185373792, 99.81997339997189 14.882996285373867, 99.82006009997188 14.882065385374714, 99.8198125999719 14.881948785374803, 99.8193841999719 14.881789685374986, 99.81409689997207 14.883097685373766, 99.81408859997208 14.8830470853738, 99.8193540999719 14.881784585374989, 99.81920019997193 14.881726385375025, 99.81918509997196 14.881698385375065))"
