Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2024,6768,900101,24.43,NP,1,0,Oct-cane,9.600900532,99.58632726283584,14.988175238213199,"POLYGON ((99.5853586 14.9891035, 99.5855147 14.9891028, 99.5877494 14.9884589, 99.5874082 14.9871496, 99.5847282 14.9880292, 99.5853586 14.9891035))"
RDC,2024,6768,900102,28.74,NP,1,0,Oct-cane,8.633611691,99.58665318361376,14.989601189381446,"POLYGON ((99.58894042073055 14.988432591760159, 99.58890384060028 14.988182666710685, 99.58778709604756 14.98853928848142, 99.58539271923095 14.98924338610422, 99.58535831973379 14.991139240997583, 99.58540090745856 14.991134668970048, 99.58578892883567 14.990997508600373, 99.58598293952421 14.990764335669695, 99.58660282772058 14.990361997422028, 99.58745458221655 14.990064815227512, 99.58763912893728 14.989470449663102, 99.58785679941522 14.989218986795024, 99.58787572735068 14.988862366156965, 99.5879419751247 14.988830361684293, 99.58890256485967 14.98851031694555, 99.58894042073055 14.988432591760159))"
RDC,2024,6768,900104,28.35,NP,1,0,Jan-cane,4.874426808,99.5872524096901,14.992053559575922,"POLYGON ((99.5888422 14.9907189, 99.5853379 14.9915437, 99.5853612 14.9932373, 99.5877726 14.9930869, 99.5894099 14.9920278, 99.5894253 14.9919834, 99.5888422 14.9907189))"
RDC,2024,6768,900105,18.59,NP,1,0,Oct-cane,6.707369554,99.58438636540026,14.994031361813633,"POLYGON ((99.5833577 14.9943516, 99.5834963 14.9947377, 99.583839 14.9947228, 99.5840494 14.9946791, 99.5844599 14.994722, 99.5848355 14.9946834, 99.5852486 14.9946859, 99.5854567 14.9942732, 99.5853355 14.9933022, 99.584936 14.9933513, 99.5843482 14.9933861, 99.5833599 14.9934031, 99.5833577 14.9943516))"
RDC,2024,6768,900107,39.52,NP,1,0,Jan-cane,4.831730769,99.58426024558987,14.990393321862975,"POLYGON ((99.5830303 14.9894924, 99.5832241 14.9901693, 99.5832935 14.9919904, 99.5852098 14.9915386, 99.5852805 14.9913871, 99.5852979 14.9893105, 99.5852673 14.9891407, 99.5850848 14.9887508, 99.5830303 14.9894924))"
RDC,2024,6768,900108,31.87,NP,1,0,Oct-cane,11.78462504,99.58362532985838,14.988170065948271,"POLYGON ((99.5850871 14.9887484, 99.5848979 14.9883586, 99.5840585 14.9868773, 99.5822953 14.9874743, 99.5829902 14.9894702, 99.5850871 14.9887484))"
RDC,2024,6768,900111,10.7,NP,1,0,Oct-cane,4.780373832,99.58001965102336,14.989837241094685,"POLYGON ((99.5795952 14.9907608, 99.5806819 14.9905458, 99.5802728 14.9887821, 99.5801439 14.9887924, 99.5799722 14.9888335, 99.5796848 14.9888243, 99.5796297 14.9890742, 99.5795555 14.989599, 99.5794898 14.9904526, 99.5795105 14.9906904, 99.5795667 14.9907141, 99.5796031 14.9907307, 99.5795952 14.9907608))"
RDC,2024,6768,900113,21.19,NP,1,0,Oct-cane,4.59886739,99.57828415789761,14.990223696219054,"POLYGON ((99.5771185 14.9898013, 99.5770465 14.9898211, 99.5770491 14.9898307, 99.5770161 14.9904583, 99.5770632 14.9909129, 99.5794632 14.9906991, 99.5795286 14.9894867, 99.5771185 14.9898013))"
RDC,2024,6768,900114,20.45,NP,1,0,Jan-cane,3.429339853,99.57845931114812,14.988956732436693,"POLYGON ((99.5771298 14.9897556, 99.5795524 14.9894599, 99.5796271 14.9887878, 99.5796609 14.9886029, 99.5796819 14.9883797, 99.5796758 14.9881938, 99.5796743 14.9880353, 99.5796695 14.9879382, 99.5796118 14.9878765, 99.57933 14.9880199, 99.5787588 14.9882505, 99.57871 14.9883056, 99.5784737 14.9883893, 99.5782539 14.9884605, 99.5780818 14.9884994, 99.5778072 14.9885666, 99.5772818 14.988664, 99.5771461 14.9887035, 99.5771257 14.9888623, 99.5770754 14.9896678, 99.5771194 14.9897575, 99.5771298 14.9897556))"
RDC,2024,6768,900118,40.75,NP,1,0,Oct-cane,10.99239264,99.58024402658218,14.98557728859647,"POLYGON ((99.5807883 14.9868004, 99.5820158 14.9863412, 99.5817526 14.9858513, 99.5814217 14.985288, 99.5813597 14.9851402, 99.5806493 14.983993, 99.5784114 14.9848333, 99.5787579 14.9853974, 99.5788418 14.9854829, 99.5795158 14.9865879, 99.5796449 14.9866229, 99.5797687 14.9869162, 99.5800223 14.9872652, 99.5807883 14.9868004))"
