Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2023,6667,632,21.91,NP,1,0,May-cane,8.354176175,99.81877700122816,14.870892469294114,"POLYGON ((99.81856779997196 14.868809785385855, 99.81831959997199 14.868792485385832, 99.818011099972 14.86884178538579, 99.81819959997202 14.870181485384581, 99.818384399972 14.871046685383755, 99.81863249997194 14.871944885382984, 99.81887289997199 14.872443185382533, 99.81904219997197 14.872746885382215, 99.81917429997193 14.87293528538206, 99.81967539997193 14.87282998538212, 99.81856779997196 14.868809785385855))"
RDC,2023,6667,634,15.72,RT,0,1,RT3,8.382951654,99.8174430038167,14.868248636601209,"POLYGON ((99.81629589997206 14.868042085386497, 99.81633849997209 14.868061485386528, 99.81675289997203 14.869013885385613, 99.81713939997206 14.868928385385745, 99.81727129997205 14.868879585385779, 99.81780749997203 14.868752285385872, 99.81829829997199 14.868694785385962, 99.81849559997198 14.868626785386015, 99.81808759997203 14.867392485387121, 99.81629589997206 14.868042085386497))"
RDC,2023,6667,639,8.37,RT,0,1,RT3,13.15412186,99.81815254449566,14.866427900376415,"POLYGON ((99.818218299972 14.867279385387208, 99.81882239997198 14.867092685387414, 99.81811689997203 14.865527885388857, 99.81747449997204 14.865905985388489, 99.818218299972 14.867279385387208))"
RDC,2023,6667,640,20.11,RT,0,1,RT3,10.33913476,99.81486571192391,14.872137645307182,"POLYGON ((99.81576169997206 14.872731785382234, 99.81544179997212 14.871032685383785, 99.81476389997212 14.871218685383605, 99.81436039997213 14.871335885383525, 99.81403559997214 14.871469885383352, 99.81407849997213 14.871906185382999, 99.81412229997213 14.872378885382556, 99.81419699997211 14.872833085382117, 99.8143549999721 14.873272085381743, 99.81440069997213 14.87331438538166, 99.8145129999721 14.873267485381742, 99.81464799997208 14.873166685381845, 99.81474179997208 14.873116985381863, 99.81576169997206 14.872731785382234))"
RDC,2023,6667,701,33.7,RT,0,1,RT3,10.37477745,99.8011156831293,14.896103282479496,"POLYGON ((99.80101889997253 14.893503785363178, 99.8006993999725 14.89347448536316, 99.80027739997256 14.893494085363173, 99.79987299997252 14.893695385362998, 99.79990749997256 14.893874185362787, 99.80009079997254 14.894290385362426, 99.80025519997251 14.894583085362152, 99.80043329997252 14.895050685361754, 99.8008346999725 14.896165185360704, 99.80148769997247 14.896011885360888, 99.80150279997245 14.896040585360835, 99.8008501999725 14.896203385360682, 99.80089909997247 14.896409885360486, 99.8010435999725 14.896798185360122, 99.80131879997246 14.898188785358888, 99.80158269997244 14.899603485357593, 99.80214459997246 14.899348285357805, 99.80101889997253 14.893503785363178))"
RDC,2023,6667,702,36.86,RT,0,1,RT3,9.494574064,99.80208969785592,14.896293868041747,"POLYGON ((99.80203719997247 14.89857828535852, 99.80244029997245 14.898484185358589, 99.80193329997249 14.895933485360954, 99.80154299997245 14.896023085360842, 99.80154379997246 14.895988785360885, 99.80192789997247 14.895900585360977, 99.8014543999725 14.893590385363078, 99.80151949997246 14.89360998536303, 99.80196549997245 14.895891685360974, 99.80242399997246 14.895767685361063, 99.80242649997246 14.895807085361072, 99.80196299997246 14.895922485360932, 99.80262599997239 14.89921278535793, 99.80307059997241 14.898959185358159, 99.8031053999724 14.898898385358244, 99.80294289997242 14.898021585359023, 99.80287789997243 14.897466285359561, 99.80270449997242 14.896656785360294, 99.80249839997242 14.896144385360728, 99.80243499997245 14.895803885361035, 99.80242249997242 14.895751285361081, 99.80201579997245 14.893698385362994, 99.80161669997248 14.89359978536308, 99.8014968999725 14.893590485363102, 99.80142949997247 14.893577485363094, 99.80104019997249 14.893513785363147, 99.80152109997248 14.896014985360843, 99.80203719997247 14.89857828535852))"
RDC,2023,6667,711,68.26,RT,0,1,RT1,29.466,99.81126962817561,14.885960049205622,"POLYGON ((99.81201749997217 14.883262185372569, 99.81170409997216 14.883360485372469, 99.8111022999722 14.883607285372248, 99.81100499997221 14.883653285372207, 99.81046229997219 14.883915285371987, 99.81017219997223 14.883988585371913, 99.81016959997221 14.88425578537167, 99.8102660999722 14.885025385370973, 99.81032899997223 14.885745185370277, 99.8103356999722 14.88653448536956, 99.81034999997223 14.886830685369326, 99.81038409997223 14.886941485369183, 99.81037499997223 14.887126685369045, 99.8103498999722 14.88834728536794, 99.81041599997216 14.888915585367416, 99.8109771999722 14.888824085367455, 99.81101399997219 14.88369038537216, 99.81105389997218 14.883655585372217, 99.81101659997219 14.888805085367514, 99.81160509997216 14.888700485367563, 99.81160949997214 14.887532785368638, 99.81161949997215 14.887495685368688, 99.81164139997216 14.883393385372445, 99.81168069997217 14.88337448537248, 99.81167749997218 14.887463085368724, 99.81221209997216 14.887429085368783, 99.81240119997214 14.886015085370072, 99.81241559997214 14.885799585370238, 99.81241779997214 14.885016185370967, 99.81228989997214 14.884306385371637, 99.81224149997219 14.883917885371956, 99.81201749997217 14.883262185372569))"
RDC,2023,6667,714,12.42,RT,0,1,RT1,8.156199678,99.81607610467339,14.883657220582547,"POLYGON ((99.81438499997209 14.883821485372088, 99.81464379997206 14.884298685371633, 99.81605219997202 14.883949985371935, 99.81738169997197 14.883571485372332, 99.81770299997196 14.883476785372387, 99.81765809997196 14.882989985372856, 99.81438499997209 14.883821485372088))"
RDC,2023,6667,715,59.33,RT,0,1,RT1,7.656666105,99.81692016478681,14.882522470721536,"POLYGON ((99.81918509997196 14.881698385374042, 99.81905259997194 14.881645285374082, 99.81815119997194 14.881484785374237, 99.816519599972 14.881873785373857, 99.816339599972 14.88176068537394, 99.81622319997204 14.881776785373967, 99.8138668999721 14.882384185373384, 99.81422959997205 14.883515185372325, 99.81437269997205 14.883767685372092, 99.81765059997194 14.882955385372895, 99.81769079997194 14.882787285373054, 99.81836589997194 14.882810185373007, 99.81864009997192 14.882897585372913, 99.81879739997191 14.882939285372876, 99.8191823999719 14.883001485372821, 99.81966579997189 14.883064185372765, 99.81997339997187 14.882996285372853, 99.82006009997187 14.88206538537369, 99.81981259997188 14.88194878537379, 99.8193841999719 14.881789685373965, 99.81409689997207 14.883097685372741, 99.81408859997208 14.883047085372779, 99.8193540999719 14.88178458537396, 99.81920019997193 14.881726385374003, 99.81918509997196 14.881698385374042))"
RDC,2023,6667,718,11.98,RT,0,1,RT2,9.032554257,99.82162240367538,14.883601505220463,"POLYGON ((99.82007779997187 14.883749385372164, 99.8201565999719 14.884031285371908, 99.82031909997188 14.884227885371713, 99.82142669997185 14.883922885372021, 99.82142469997186 14.883922985371987, 99.82134529997185 14.883419585372437, 99.82136979997185 14.883415685372473, 99.82146129997184 14.883900485372006, 99.82189439997184 14.883840485372103, 99.82245019997178 14.883667785372255, 99.82301589997181 14.883487385372385, 99.82309819997178 14.882932285372915, 99.82007779997187 14.883749385372164))"
RDC,2023,6667,719,16.82,RT,0,1,RT2,5.92508918,99.821532672862,14.882922092383549,"POLYGON ((99.82001739997186 14.882915785372903, 99.81996709997186 14.883181385372692, 99.81996999997189 14.883241785372634, 99.82004279997189 14.883705885372196, 99.82310399997178 14.882857985372988, 99.82320539997178 14.882160485373628, 99.82180479997182 14.882494285373337, 99.82127649997186 14.882634485373183, 99.82138769997184 14.883330985372549, 99.82133759997183 14.883346785372506, 99.82125879997186 14.8826167853732, 99.82001739997186 14.882915785372903))"
RDC,2023,6667,720,10.23,RT,0,1,RT2,10.6344086,99.82146001990799,14.882314065117574,"POLYGON ((99.82125979997186 14.882601185373222, 99.8232246999718 14.882125885373659, 99.82328679997178 14.88182728537393, 99.8232316999718 14.881784385373985, 99.82316569997178 14.881775685373965, 99.82271579997183 14.88186458537387, 99.82202179997184 14.882025185373736, 99.82119659997186 14.882212085373574, 99.82124729997183 14.882589985373222, 99.82121959997185 14.882582685373237, 99.82116269997185 14.882214085373569, 99.82098849997186 14.882236685373517, 99.82042869997186 14.882206185373562, 99.82020629997187 14.882115685373643, 99.82005259997189 14.882153885373613, 99.8199838999719 14.882893485372913, 99.82125979997186 14.882601185373222))"
RDC,2023,6667,721,5.36,RT,0,1,RT1,17.53358209,99.8222599450617,14.881666500959396,"POLYGON ((99.82122499997186 14.882077785373687, 99.82335249997178 14.88159928537414, 99.82346689997179 14.881268085374447, 99.82117689997186 14.88169278537404, 99.82122499997186 14.882077785373687))"
RDC,2023,6667,726,13.86,NP,1,0,Jan-cane,16.45165945,99.82229128076479,14.87997338802723,"POLYGON ((99.82088289997189 14.879845785375736, 99.82103779997186 14.880565585375088, 99.82373259997179 14.880093285375525, 99.82350689997178 14.87938318537618, 99.82088289997189 14.879845785375736))"
